2,12,67.60,2016-04-25,2016-02-07
3,45,1.22,2016-09-27,2015-01-24
5,67,441.16,2016-09-09,2015-01-08
10,224,501.60,2016-02-28,2015-05-11
12,246,1.25,2015-06-07,2015-05-24
13,279,4.15,2016-08-19,2016-03-26
14,268,648.89,2016-03-20,2015-08-28
16,290,4.79,2015-07-11,2015-05-18
17,147,424.59,2016-02-23,2016-02-11
22,180,5.62,2015-01-31,2015-01-25
23,213,1.80,2016-01-30,2015-04-18
24,202,14.31,2016-01-05,2015-02-17
29,103,137.52,2015-10-08,2015-03-30
33,75,3.74,2016-03-19,2015-09-22
36,86,1.45,2016-08-02,2015-10-01
37,119,5.81,2016-08-01,2016-02-21
38,108,819.66,2016-09-17,2016-04-26
41,287,634.63,2016-06-01,2015-04-18
42,276,541.61,2016-04-17,2015-12-29
43,9,318.47,2015-07-14,2015-01-23
44,298,2.11,2016-07-25,2015-04-23
46,20,201.96,2016-09-28,2015-06-04
48,42,164.39,2015-11-10,2015-03-16
49,199,9.41,2016-09-14,2015-04-08
52,210,91.52,2015-08-30,2015-07-16
53,243,2.10,2016-04-24,2016-01-20
55,265,3.90,2016-06-29,2015-11-03
59,133,79.49,2016-04-28,2015-03-14
60,122,1.89,2015-10-29,2015-02-20
61,155,217.55,2016-07-16,2015-09-19
62,144,1.37,2016-09-03,2016-02-26
63,177,289.68,2016-06-02,2016-02-20
66,116,257.59,2016-06-07,2015-05-04
68,138,25.50,2016-07-08,2015-12-19
71,193,29.60,2016-01-10,2015-07-28
75,61,59.96,2016-08-19,2016-03-14
77,83,176.33,2016-08-14,2016-05-15
78,72,804.67,2015-09-26,2015-05-15
79,105,233.50,2016-03-02,2015-03-24
80,94,567.61,2016-04-05,2015-03-29
81,251,103.90,2016-01-05,2015-12-29
82,240,2.36,2015-07-04,2015-04-27
83,273,356.20,2016-04-07,2016-03-19
84,262,344.19,2016-01-25,2015-10-05
85,295,13.62,2015-09-04,2015-08-23
92,174,30.39,2016-09-21,2015-12-30
96,218,612.79,2015-12-12,2015-08-15
97,179,1.58,2016-06-04,2015-02-08
101,223,2.53,2016-08-15,2015-11-08
103,245,53.96,2015-09-18,2015-08-13
107,113,190.67,2015-09-04,2015-02-22
109,135,3.91,2016-05-24,2015-09-08
110,124,52.98,2016-02-27,2015-03-17
111,157,38.22,2016-08-16,2016-05-31
112,146,776.70,2016-02-26,2016-01-18
117,47,64.12,2016-04-14,2015-12-27
118,36,1.38,2016-04-24,2015-06-07
120,58,27.91,2016-05-19,2016-04-13
127,281,71.48,2016-01-05,2015-05-05
128,270,868.82,2016-02-19,2015-09-14
130,104,65.61,2016-09-23,2015-06-25
131,137,3.58,2016-01-10,2015-07-08
134,148,29.10,2015-02-23,2015-01-02
136,170,382.19,2015-06-16,2015-05-06
140,38,1.94,2016-06-11,2015-09-25
141,71,576.73,2016-02-13,2015-06-03
143,93,301.21,2016-05-15,2015-07-04
144,82,598.80,2016-09-07,2015-11-26
145,239,77.79,2015-06-02,2015-04-07
146,228,1.80,2015-08-04,2015-06-15
147,261,2.77,2016-06-08,2015-08-29
148,250,49.49,2016-09-07,2015-02-14
150,272,10.60,2016-06-21,2015-03-20
151,5,70.39,2016-03-24,2016-02-18
152,294,1.69,2016-01-31,2015-06-01
154,140,926.89,2015-07-30,2015-02-27
155,173,85.31,2016-09-23,2015-06-11
156,162,350.14,2015-08-09,2015-03-29
158,184,1.90,2016-05-26,2016-05-01
160,206,193.42,2015-06-21,2015-01-18
162,156,1.75,2016-02-12,2015-09-03
167,233,105.84,2015-12-17,2015-03-24
168,222,256.40,2016-08-11,2016-02-12
170,68,739.97,2016-04-08,2015-09-30
173,123,208.60,2016-03-16,2015-07-22
174,112,42.60,2016-02-05,2015-02-15
175,145,107.82,2015-11-19,2015-10-07
177,291,293.25,2016-07-09,2016-01-20
181,35,449.36,2015-05-17,2015-02-13
182,24,783.14,2016-02-29,2015-01-02
184,46,84.17,2016-05-19,2016-02-05
187,225,959.35,2016-06-23,2015-11-02
188,214,52.40,2016-03-28,2016-03-22
191,269,5.67,2016-05-17,2015-05-09
194,208,129.26,2015-12-21,2015-11-07
195,241,1.20,2016-07-23,2016-05-04
196,230,30.55,2015-11-10,2015-10-07
197,263,221.39,2016-03-28,2015-05-24
198,252,64.53,2016-08-19,2016-05-03
199,285,794.46,2016-06-04,2015-08-06
